N RMSE MSSSIM LSD
3200 0.313490 0.063270 nan
6400 0.227786 0.157621 15.427143
9600 0.175378 0.227422 10.492151
12800 0.147807 0.367872 9.409180
16000 0.143632 0.406685 9.109098
19200 0.132373 0.445641 9.692905
22400 0.133666 0.456123 9.268225
25600 0.140627 0.434747 8.924342
28800 0.139634 0.438794 8.898003
32000 0.137402 0.431449 8.780274
35200 0.141665 0.421097 8.883568
38400 0.136652 0.447704 8.784276
41600 0.143885 0.421422 8.875228
44800 0.134574 0.439836 8.757656
48000 0.139850 0.421748 8.895704
51200 0.139717 0.429170 8.726692
54400 0.135558 0.436837 8.713744
57600 0.138806 0.422930 8.825072
60800 0.137069 0.429977 8.806072
64000 0.149087 0.396442 8.896829
67200 0.139352 0.426884 8.729865
70400 0.132796 0.440060 8.627212
73600 0.135347 0.439381 8.681187
76800 0.134455 0.443452 8.676661
80000 0.142245 0.424212 8.784803
83200 0.145050 0.413619 9.020824
86400 0.134869 0.440721 8.662684
89600 0.138124 0.431969 8.773409
92800 0.137429 0.436252 8.649873
96000 0.137057 0.428812 8.777532
99200 0.138197 0.433789 8.753270
102400 0.137254 0.445185 8.718822
105600 0.139279 0.440178 8.804032
108800 0.131670 0.449977 8.631346
112000 0.142404 0.426299 9.015738
115200 0.134591 0.448945 8.682719
118400 0.139918 0.434119 9.022917
121600 0.133953 0.444310 8.674132
124800 0.135392 0.438530 8.672649
128000 0.136052 0.444817 8.863587
131200 0.133303 0.421975 8.634293
134400 0.137306 0.442668 8.854948
137600 0.141681 0.445581 8.941073
140800 0.136524 0.445469 8.693987
144000 0.135546 0.448529 8.775597
147200 0.136922 0.437611 8.750107
150400 0.131586 0.446992 8.641740
153600 0.139781 0.425475 8.902216
156800 0.130595 0.457540 8.580460
160000 0.138156 0.429671 9.056235
163200 0.135272 0.448374 8.840045
166400 0.139749 0.426354 8.951827
169600 0.138880 0.421474 9.003662
172800 0.138287 0.436316 8.788109
176000 0.131075 0.451457 8.662799
179200 0.133392 0.445767 8.600687
182400 0.135885 0.438248 8.863765
185600 0.133278 0.442843 8.649849
188800 0.137775 0.441321 8.893299
192000 0.136137 0.437680 8.768576
195200 0.129227 0.456894 8.720791
198400 0.137246 0.440485 8.843276
201600 0.138995 0.436604 8.840214
204800 0.140661 0.428328 8.860400
208000 0.134242 0.442829 8.552069
211200 0.128011 0.471494 8.489290
214400 0.138624 0.442556 8.672497
217600 0.131503 0.454473 8.708640
220800 0.141185 0.431346 9.079606
224000 0.131136 0.445676 8.622238
227200 0.137264 0.437584 8.702990
230400 0.137638 0.437983 8.742736
233600 0.136873 0.438845 8.711620
236800 0.139341 0.430531 8.735906
240000 0.134942 0.445176 8.643992
243200 0.133567 0.459107 8.608174
246400 0.134967 0.441617 8.817256
249600 0.136476 0.445397 8.865941
252800 0.130634 0.468172 8.567621
256000 0.137700 0.437430 8.915744
259200 0.135283 0.439173 8.746232
262400 0.132814 0.464673 8.535773
265600 0.131154 0.452239 8.777067
268800 0.132837 0.452676 8.645277
272000 0.136216 0.449202 8.810336
275200 0.133235 0.456412 8.525329
278400 0.138114 0.438337 8.828428
281600 0.133358 0.453413 8.683946
284800 0.135915 0.446642 8.630163
288000 0.130268 0.465146 8.561322
291200 0.133695 0.458972 8.563075
294400 0.133824 0.451546 8.654358
297600 0.134140 0.458237 8.662365
300800 0.134614 0.459846 8.687702
304000 0.130662 0.467470 8.687025
307200 0.136266 0.445415 8.698419
310400 0.133672 0.466693 8.686111
313600 0.138709 0.442181 8.714035
316800 0.135210 0.450584 8.645578
320000 0.138347 0.440815 8.865223
323200 0.132544 0.454430 8.715283
326400 0.135613 0.449299 8.667958
329600 0.135926 0.449827 8.789387
332800 0.134277 0.447513 8.674197
336000 0.136922 0.437701 8.745447
339200 0.134740 0.452725 8.632511
342400 0.130390 0.468220 8.531956
345600 0.132314 0.452309 8.690948
348800 0.138848 0.442086 8.616943
352000 0.140065 0.427404 8.598410
355200 0.142577 0.416226 8.665958
358400 0.142097 0.416863 8.678277
361600 0.141829 0.417146 8.681987
364800 0.141497 0.417818 8.679109
368000 0.140840 0.419553 8.667580
371200 0.140049 0.421936 8.652302
374400 0.139222 0.424140 8.638786
377600 0.138471 0.425768 8.629116
380800 0.137783 0.427447 8.619524
384000 0.137105 0.429644 8.610460
387200 0.136521 0.431833 8.602069
390400 0.136119 0.433551 8.597530
393600 0.135697 0.435914 8.592197
396800 0.135448 0.437645 8.590967
400000 0.135267 0.439244 8.591049
