N RMSE MSSSIM LSD
3200 0.149400 0.419376 128.406224
6400 0.554026 0.029234 29.974636
9600 0.128441 0.529723 13.504484
12800 0.085022 0.721836 15.459008
16000 0.080521 0.713175 11.419964
19200 0.084545 0.709936 11.270010
22400 0.080221 0.734803 11.533638
25600 0.084495 0.719539 10.965376
28800 0.086176 0.734493 10.183780
32000 0.080070 0.735556 10.635234
35200 0.084831 0.708387 9.870549
38400 0.082494 0.739942 10.324720
41600 0.084119 0.716107 9.754272
44800 0.083593 0.704496 9.530571
48000 0.094358 0.666246 9.239204
51200 0.082815 0.727379 9.437134
54400 0.083023 0.741205 9.156164
57600 0.084031 0.719099 9.071970
60800 0.083992 0.711689 8.932338
64000 0.082416 0.733509 8.979873
67200 0.084450 0.714202 8.699272
70400 0.085275 0.720052 8.600962
73600 0.084277 0.720061 8.615988
76800 0.085337 0.704903 8.503580
80000 0.081952 0.725828 8.667377
83200 0.085200 0.729288 8.591339
86400 0.086084 0.711787 8.543499
89600 0.084154 0.709800 8.558017
92800 0.083503 0.731786 8.491814
96000 0.077015 0.754820 8.992158
99200 0.086932 0.728491 8.397360
102400 0.078712 0.750238 8.867269
105600 0.078789 0.750559 8.997597
108800 0.082157 0.733106 8.434760
112000 0.086879 0.714704 8.412090
115200 0.087402 0.698046 8.443037
118400 0.083381 0.719462 8.397093
121600 0.082171 0.734494 8.490576
124800 0.084335 0.725052 8.644586
128000 0.081406 0.736050 8.608305
131200 0.079250 0.743954 8.549161
134400 0.082354 0.737900 8.460672
137600 0.083245 0.716411 8.543065
140800 0.082716 0.721343 8.396421
144000 0.079401 0.747684 8.484838
147200 0.088492 0.717889 8.426037
150400 0.083570 0.735879 8.516606
153600 0.081990 0.739884 8.508345
156800 0.078680 0.740243 8.606760
160000 0.080511 0.741965 8.542724
163200 0.081346 0.739168 8.580335
166400 0.078585 0.750464 8.535877
169600 0.083493 0.705039 8.491318
172800 0.082508 0.722504 8.483323
176000 0.080419 0.731061 8.402552
179200 0.082437 0.733501 8.465958
182400 0.079782 0.745685 8.498476
185600 0.083937 0.728480 8.430484
188800 0.083885 0.729302 8.437885
192000 0.079209 0.754216 8.508880
195200 0.081939 0.732792 8.421277
198400 0.082379 0.739437 8.400307
201600 0.081603 0.736158 8.426333
204800 0.084988 0.735477 8.450972
208000 0.080110 0.744246 8.370191
211200 0.079988 0.747784 8.362561
214400 0.079813 0.748240 8.456992
217600 0.081131 0.745648 8.497768
220800 0.081206 0.741566 8.383123
224000 0.081114 0.733274 8.482027
227200 0.081737 0.735955 8.407780
230400 0.078143 0.746475 8.640727
233600 0.079337 0.745480 8.520857
236800 0.081460 0.744832 8.501479
240000 0.081140 0.730621 8.639675
243200 0.078450 0.749337 8.628839
246400 0.079396 0.746329 8.514428
249600 0.081513 0.729957 8.354606
252800 0.080528 0.732551 8.497288
256000 0.080094 0.734430 8.563295
259200 0.078239 0.734581 8.578175
262400 0.078615 0.750354 8.602218
265600 0.075584 0.762887 8.842981
268800 0.080719 0.747217 8.536294
272000 0.081449 0.739211 8.611671
275200 0.080233 0.745688 8.542120
278400 0.078970 0.737912 8.593206
281600 0.080766 0.723395 8.488074
284800 0.080847 0.746699 8.460229
288000 0.079666 0.743928 8.730870
291200 0.080536 0.746999 8.622242
294400 0.079639 0.751750 8.683930
297600 0.079055 0.745804 8.503899
300800 0.079918 0.744889 8.595070
304000 0.080326 0.741759 8.363447
307200 0.081794 0.739387 8.467800
310400 0.080477 0.743214 8.546566
313600 0.080613 0.725602 8.600995
316800 0.078035 0.743850 8.711189
320000 0.079516 0.742678 8.590501
323200 0.081278 0.745291 8.554150
326400 0.081476 0.747364 8.476330
329600 0.082124 0.748203 8.498367
332800 0.079236 0.749544 8.676682
336000 0.080082 0.732643 8.593046
339200 0.081441 0.743327 8.475542
342400 0.080599 0.741449 8.596669
345600 0.080627 0.746363 8.558970
348800 0.079719 0.749479 8.666890
352000 0.079585 0.747999 8.427284
355200 0.079891 0.748005 8.421969
358400 0.079065 0.749282 8.439128
361600 0.078874 0.750033 8.444524
364800 0.078854 0.750569 8.446448
368000 0.078793 0.751201 8.430968
371200 0.078707 0.751943 8.443377
374400 0.078703 0.752519 8.428278
377600 0.078739 0.752991 8.430608
380800 0.078777 0.753418 8.434252
384000 0.078812 0.753682 8.429978
387200 0.078873 0.753793 8.429630
390400 0.078972 0.753866 8.428966
393600 0.079049 0.753903 8.427806
396800 0.079157 0.753941 8.420906
400000 0.079266 0.753894 8.407059
