N KS CvM DKL OP CRPS mean std
3200 0.720642 0.417120 1.245929 0.733237 0.267290 0.863944 0.269522
6400 0.075957 0.052387 0.026836 0.031533 0.083252 0.450931 0.280972
9600 0.035716 0.025932 0.022821 0.055555 0.065493 0.517066 0.308175
12800 0.070479 0.035731 0.045710 0.073379 0.056891 0.479216 0.316498
16000 0.134036 0.089994 0.090096 0.094184 0.061422 0.571431 0.327546
19200 0.112968 0.071861 0.136808 0.152471 0.060050 0.527066 0.349435
22400 0.146357 0.090213 0.170370 0.172332 0.064351 0.450927 0.354242
25600 0.116224 0.077333 0.169510 0.175916 0.066122 0.485751 0.358011
28800 0.110344 0.074172 0.163338 0.173846 0.067102 0.492654 0.356661
32000 0.141293 0.084724 0.181597 0.184120 0.063100 0.528906 0.360227
35200 0.129292 0.078471 0.135929 0.144462 0.059431 0.539372 0.349216
38400 0.134002 0.083485 0.134604 0.136723 0.066967 0.451685 0.347441
41600 0.124307 0.080482 0.087623 0.098937 0.059417 0.438119 0.330343
44800 0.098997 0.064706 0.112599 0.122124 0.058979 0.486561 0.347165
48000 0.096340 0.062546 0.102135 0.112018 0.064566 0.516217 0.344443
51200 0.095896 0.060372 0.098494 0.113745 0.055585 0.516474 0.342823
54400 0.083367 0.058062 0.097032 0.111219 0.056912 0.498491 0.343076
57600 0.077964 0.052851 0.083540 0.103549 0.057558 0.491841 0.338181
60800 0.137189 0.083686 0.120940 0.121276 0.060751 0.551808 0.344955
64000 0.188236 0.125838 0.144413 0.126652 0.062987 0.605542 0.333007
67200 0.119196 0.072510 0.104130 0.116259 0.063210 0.542222 0.341112
70400 0.109873 0.071280 0.132037 0.136747 0.060114 0.480665 0.351205
73600 0.099317 0.063263 0.112705 0.123859 0.061848 0.508492 0.346986
76800 0.107478 0.066373 0.120731 0.132458 0.062378 0.515940 0.348327
80000 0.156958 0.096390 0.138775 0.133583 0.073282 0.566014 0.346334
83200 0.131284 0.078507 0.121076 0.128292 0.063369 0.544662 0.345667
86400 0.158540 0.096110 0.142467 0.133468 0.062834 0.563647 0.348327
89600 0.127218 0.076216 0.115940 0.118723 0.065582 0.540125 0.346082
92800 0.116641 0.072842 0.119073 0.124088 0.061433 0.466671 0.346569
96000 0.095546 0.062711 0.108588 0.117878 0.062965 0.507213 0.346561
99200 0.100815 0.060839 0.097392 0.113166 0.059684 0.520557 0.342002
102400 0.140444 0.087887 0.123200 0.121449 0.069371 0.441375 0.343149
105600 0.127983 0.077055 0.101557 0.107514 0.062266 0.549121 0.340267
108800 0.112362 0.071440 0.127041 0.132060 0.054772 0.475694 0.349617
112000 0.074155 0.048258 0.062437 0.082885 0.062113 0.483653 0.331458
115200 0.088205 0.061367 0.103990 0.112622 0.062910 0.495262 0.345568
118400 0.128537 0.080247 0.091084 0.098751 0.059471 0.558469 0.334513
121600 0.112108 0.067852 0.105189 0.116235 0.056101 0.531102 0.343536
124800 0.114913 0.072122 0.117385 0.123011 0.062889 0.467017 0.346068
128000 0.099419 0.064020 0.110547 0.119490 0.063500 0.512223 0.346886
131200 0.154855 0.098017 0.159860 0.144214 0.068892 0.437823 0.350647
134400 0.085140 0.058782 0.098519 0.112123 0.058611 0.503767 0.343638
137600 0.084218 0.055939 0.086062 0.102584 0.064853 0.486009 0.339294
140800 0.112369 0.070158 0.093740 0.104109 0.062628 0.458084 0.338086
144000 0.085887 0.058983 0.097268 0.109314 0.060738 0.492701 0.343311
147200 0.097115 0.060827 0.091072 0.105721 0.060436 0.475029 0.339720
150400 0.120116 0.073682 0.132939 0.133546 0.060675 0.522992 0.352191
153600 0.099529 0.060229 0.092187 0.107698 0.068447 0.522479 0.340621
156800 0.109397 0.069426 0.117849 0.123274 0.060318 0.475740 0.347751
160000 0.084257 0.052710 0.070159 0.088018 0.056401 0.519420 0.334619
163200 0.077932 0.052129 0.081385 0.101656 0.058712 0.492960 0.337790
166400 0.087872 0.054590 0.080546 0.100928 0.066359 0.518484 0.337045
169600 0.069658 0.048436 0.072291 0.094587 0.062314 0.500535 0.335124
172800 0.081161 0.051501 0.075398 0.097682 0.053574 0.515203 0.335408
176000 0.120688 0.075413 0.125169 0.127549 0.058884 0.465493 0.348328
179200 0.100070 0.067113 0.122530 0.129612 0.056913 0.487708 0.349401
182400 0.104832 0.064898 0.101996 0.112843 0.062940 0.524984 0.343567
185600 0.092033 0.062390 0.110764 0.122447 0.060656 0.502867 0.346759
188800 0.073506 0.048579 0.070619 0.092536 0.058471 0.507002 0.334695
192000 0.090208 0.058261 0.095951 0.112042 0.057426 0.510795 0.342380
195200 0.110976 0.071218 0.125513 0.125904 0.059481 0.479705 0.350627
198400 0.103720 0.062723 0.088120 0.105663 0.055872 0.532630 0.337771
201600 0.071802 0.049461 0.075175 0.097340 0.061872 0.497036 0.335941
204800 0.083020 0.051701 0.059217 0.082879 0.059172 0.470470 0.328033
208000 0.092456 0.060610 0.096961 0.107170 0.060896 0.485500 0.343157
211200 0.116159 0.074579 0.138938 0.138461 0.057869 0.478422 0.353242
214400 0.076402 0.050768 0.075789 0.096769 0.060887 0.489786 0.335937
217600 0.115873 0.071260 0.120706 0.123768 0.058362 0.525316 0.349104
220800 0.070278 0.048103 0.070054 0.091706 0.066785 0.502336 0.334707
224000 0.133550 0.082252 0.133899 0.132603 0.067384 0.455814 0.349102
227200 0.079576 0.053197 0.080882 0.098924 0.062761 0.490084 0.337994
230400 0.075661 0.052194 0.079474 0.097259 0.057551 0.501000 0.338129
233600 0.085658 0.056424 0.090311 0.105836 0.059673 0.507541 0.341252
236800 0.081461 0.054087 0.085152 0.103189 0.062468 0.506754 0.339438
240000 0.092264 0.059994 0.102191 0.115894 0.062175 0.508343 0.344270
243200 0.091176 0.061535 0.107115 0.119249 0.059370 0.504592 0.345908
246400 0.088052 0.057014 0.088169 0.103338 0.059052 0.485790 0.340289
249600 0.078240 0.051443 0.074484 0.093314 0.061684 0.510093 0.336437
252800 0.097528 0.068377 0.127798 0.131443 0.060601 0.499274 0.351642
256000 0.074462 0.051090 0.078758 0.100226 0.063945 0.505909 0.337027
259200 0.097413 0.060650 0.090640 0.105347 0.055794 0.523819 0.340173
262400 0.090694 0.063176 0.112795 0.123311 0.062082 0.501601 0.347443
265600 0.126876 0.076601 0.128444 0.129001 0.059758 0.533994 0.350032
268800 0.096847 0.063369 0.107891 0.116657 0.064613 0.510591 0.346536
272000 0.090163 0.055878 0.068119 0.088524 0.056603 0.530290 0.331927
275200 0.080205 0.056330 0.090582 0.105345 0.061130 0.497084 0.341545
278400 0.079822 0.053466 0.080707 0.097901 0.063660 0.508294 0.338511
281600 0.089464 0.056098 0.082877 0.099708 0.058290 0.481596 0.338238
284800 0.079753 0.052289 0.080336 0.100829 0.055298 0.490522 0.337498
288000 0.082873 0.055458 0.089553 0.106170 0.053839 0.504177 0.340846
291200 0.098260 0.062698 0.105081 0.115988 0.064340 0.514645 0.345218
294400 0.084116 0.053836 0.079305 0.097684 0.057881 0.514513 0.337508
297600 0.072227 0.049446 0.071374 0.090056 0.059615 0.501714 0.335718
300800 0.074644 0.052227 0.078428 0.095661 0.056161 0.496185 0.337953
304000 0.107696 0.067266 0.114288 0.119235 0.060724 0.518342 0.348023
307200 0.104486 0.064297 0.091577 0.103909 0.055363 0.530563 0.340098
310400 0.074004 0.052206 0.078994 0.096220 0.056257 0.497878 0.338006
313600 0.081515 0.050224 0.063095 0.085806 0.067987 0.522802 0.330949
316800 0.092264 0.057662 0.076761 0.093702 0.060924 0.526883 0.335622
320000 0.073356 0.045720 0.054792 0.078619 0.053814 0.518276 0.328704
323200 0.087425 0.058359 0.091524 0.102488 0.061359 0.489728 0.342163
326400 0.074893 0.051232 0.079442 0.100586 0.062912 0.503835 0.337375
329600 0.089346 0.056794 0.087037 0.103005 0.059767 0.484336 0.339764
332800 0.093232 0.058887 0.090979 0.105400 0.058346 0.481906 0.340810
336000 0.066601 0.045864 0.063053 0.085267 0.060066 0.503185 0.332652
339200 0.079498 0.053256 0.080757 0.098020 0.061374 0.507000 0.338556
342400 0.091257 0.061258 0.102733 0.112666 0.057974 0.506792 0.345295
345600 0.073981 0.052050 0.078109 0.095429 0.060309 0.501951 0.337941
348800 0.086523 0.054265 0.060559 0.079562 0.057984 0.530300 0.329845
352000 0.055871 0.039150 0.049755 0.076568 0.054590 0.500901 0.327082
355200 0.076098 0.047166 0.045101 0.070682 0.063538 0.469219 0.322046
358400 0.066343 0.040432 0.044879 0.071305 0.064056 0.483369 0.324498
361600 0.063126 0.039238 0.047182 0.073779 0.068226 0.490136 0.325899
364800 0.062536 0.040214 0.049601 0.075768 0.061982 0.491454 0.327030
368000 0.060155 0.038706 0.047409 0.074248 0.060925 0.493027 0.326075
371200 0.059135 0.038083 0.046380 0.073458 0.054181 0.493682 0.325647
374400 0.058952 0.039870 0.050448 0.076566 0.060799 0.496740 0.327550
377600 0.061871 0.040604 0.051606 0.077511 0.063260 0.494181 0.327912
380800 0.069012 0.044170 0.057210 0.080655 0.057934 0.489567 0.330055
384000 0.067450 0.044835 0.060139 0.082866 0.063492 0.493621 0.331422
387200 0.070782 0.045960 0.062391 0.084932 0.054282 0.491309 0.332032
390400 0.074158 0.047245 0.062996 0.084622 0.057855 0.487081 0.332076
393600 0.075842 0.048636 0.066655 0.087180 0.054212 0.487791 0.333492
396800 0.078558 0.050620 0.070943 0.089990 0.058101 0.487111 0.335003
400000 0.073024 0.047613 0.064337 0.084424 0.057110 0.489829 0.333026
