N KS CvM DKL OP CRPS mean std
3200 0.204708 0.118470 0.198874 0.222442 0.089930 0.603376 0.329263
6400 0.969184 0.561716 4.334246 0.984860 0.543138 0.011510 0.098629
9600 0.035683 0.024424 0.008024 0.034179 0.041952 0.479374 0.297125
12800 0.077625 0.048549 0.047973 0.082288 0.030609 0.539399 0.315853
16000 0.083477 0.050885 0.050919 0.082569 0.033429 0.539650 0.318856
19200 0.033637 0.022314 0.014023 0.044192 0.028884 0.487306 0.306647
22400 0.056791 0.034052 0.027686 0.059654 0.027365 0.525059 0.312161
25600 0.051369 0.033009 0.020555 0.050710 0.027351 0.526801 0.308177
28800 0.056580 0.036926 0.025892 0.056230 0.029233 0.472633 0.311990
32000 0.072639 0.043789 0.039789 0.070174 0.023606 0.532041 0.317545
35200 0.032142 0.020317 0.019555 0.053672 0.027860 0.500261 0.310493
38400 0.035672 0.021806 0.023114 0.059107 0.022782 0.503401 0.311805
41600 0.060179 0.035277 0.033893 0.068147 0.029810 0.524611 0.314389
44800 0.040652 0.026718 0.028017 0.063626 0.028007 0.489472 0.313978
48000 0.057882 0.037461 0.026241 0.057633 0.026742 0.530763 0.309844
51200 0.037931 0.023420 0.027723 0.064858 0.022930 0.500719 0.313457
54400 0.046500 0.026708 0.031883 0.069342 0.025860 0.509063 0.315054
57600 0.065102 0.038080 0.038366 0.071700 0.031870 0.524626 0.317657
60800 0.050287 0.028772 0.033357 0.070008 0.025205 0.511874 0.315935
64000 0.036807 0.025047 0.026733 0.062824 0.026445 0.491570 0.313089
67200 0.037599 0.025289 0.028037 0.064405 0.031558 0.493277 0.314140
70400 0.038908 0.022050 0.021712 0.057150 0.024218 0.509411 0.310298
73600 0.034143 0.020066 0.020314 0.055746 0.027892 0.503770 0.310091
76800 0.045869 0.026574 0.024002 0.057885 0.025942 0.514534 0.312108
80000 0.065892 0.038837 0.037282 0.070470 0.028577 0.527452 0.316078
83200 0.030053 0.020320 0.017271 0.051083 0.025683 0.492702 0.308866
86400 0.040965 0.023847 0.019910 0.052766 0.030924 0.511742 0.310780
89600 0.034003 0.019295 0.017180 0.050515 0.025026 0.506176 0.308683
92800 0.030806 0.019339 0.018230 0.052129 0.030569 0.499548 0.309485
96000 0.055956 0.031846 0.035807 0.072143 0.030204 0.517224 0.316265
99200 0.042392 0.027665 0.020042 0.052936 0.033793 0.481831 0.309602
102400 0.044108 0.024926 0.026389 0.061478 0.023702 0.509134 0.313191
105600 0.036160 0.024552 0.025336 0.060414 0.028069 0.492341 0.312909
108800 0.028768 0.016646 0.014200 0.047356 0.023185 0.503036 0.306898
112000 0.031715 0.018377 0.014991 0.047266 0.023718 0.505120 0.308073
115200 0.023839 0.014773 0.011380 0.043289 0.025342 0.499728 0.305306
118400 0.030719 0.020448 0.014684 0.046577 0.030459 0.490505 0.307676
121600 0.033514 0.019138 0.015396 0.047190 0.028058 0.506218 0.308433
124800 0.029733 0.016856 0.011374 0.042164 0.022685 0.508242 0.305308
128000 0.038858 0.022629 0.022413 0.055966 0.032196 0.504962 0.312109
131200 0.045422 0.026478 0.027708 0.061456 0.025026 0.508139 0.314945
134400 0.030616 0.017978 0.015318 0.047941 0.024067 0.502969 0.308097
137600 0.038146 0.021620 0.018406 0.051153 0.030398 0.509816 0.309523
140800 0.028603 0.018496 0.016351 0.049450 0.026037 0.498164 0.308512
144000 0.030706 0.021025 0.020381 0.054815 0.021968 0.497890 0.311031
147200 0.028953 0.016645 0.011133 0.041839 0.030468 0.507080 0.305650
150400 0.034790 0.019977 0.012693 0.042719 0.026578 0.512446 0.306003
153600 0.031385 0.017741 0.014783 0.047234 0.022198 0.505248 0.307428
156800 0.041305 0.026841 0.021410 0.053399 0.021459 0.485174 0.311111
160000 0.043822 0.025107 0.020405 0.051279 0.023776 0.512659 0.311516
163200 0.042863 0.024522 0.025297 0.059924 0.023784 0.508503 0.313015
166400 0.051033 0.029811 0.024493 0.056086 0.024099 0.519145 0.312326
169600 0.030956 0.019277 0.016678 0.049371 0.025151 0.501985 0.309460
172800 0.036012 0.023532 0.016976 0.047851 0.024135 0.488235 0.309438
176000 0.033618 0.022619 0.022820 0.056844 0.026838 0.497670 0.312373
179200 0.051877 0.031645 0.020764 0.049560 0.022744 0.523826 0.309919
182400 0.027651 0.019207 0.015213 0.047071 0.024495 0.495454 0.308686
185600 0.027550 0.018509 0.011855 0.042188 0.021606 0.491817 0.306195
188800 0.026003 0.017889 0.013786 0.045316 0.022369 0.497910 0.307951
192000 0.056625 0.033836 0.028980 0.061625 0.024647 0.523333 0.313566
195200 0.027961 0.017866 0.014772 0.047262 0.026548 0.500325 0.308210
198400 0.032698 0.018168 0.012903 0.043687 0.025624 0.509319 0.306112
201600 0.039243 0.022366 0.017958 0.049528 0.025144 0.510487 0.309874
204800 0.026794 0.017751 0.008720 0.037720 0.021603 0.489421 0.303579
208000 0.045894 0.029683 0.019484 0.049609 0.022256 0.479960 0.310145
211200 0.035684 0.020587 0.016594 0.048207 0.023002 0.507585 0.309357
214400 0.037556 0.021305 0.016065 0.047630 0.027325 0.511990 0.307926
217600 0.026325 0.015166 0.010517 0.040751 0.023524 0.503173 0.305334
220800 0.030582 0.019051 0.015755 0.047233 0.032925 0.500646 0.309140
224000 0.034843 0.019750 0.015143 0.046289 0.024463 0.508138 0.308297
227200 0.032675 0.018158 0.014584 0.046268 0.024737 0.506624 0.307340
230400 0.052265 0.030305 0.026219 0.057777 0.025590 0.518166 0.313643
233600 0.034346 0.022332 0.015392 0.046674 0.019705 0.488114 0.308280
236800 0.042223 0.027255 0.019451 0.050585 0.023897 0.483375 0.310296
240000 0.035407 0.019993 0.017361 0.049366 0.030702 0.505844 0.309345
243200 0.030319 0.018248 0.015865 0.048764 0.022603 0.502180 0.308483
246400 0.030477 0.021336 0.020509 0.054512 0.023987 0.496503 0.311012
249600 0.033716 0.021341 0.020005 0.052989 0.028080 0.500684 0.311372
252800 0.027079 0.016942 0.013799 0.046391 0.026709 0.500722 0.307370
256000 0.031625 0.018812 0.014974 0.046269 0.022695 0.503659 0.308720
259200 0.032065 0.020828 0.018276 0.050070 0.027734 0.499089 0.310726
262400 0.032267 0.022400 0.019737 0.050869 0.022104 0.496849 0.311816
265600 0.040851 0.026517 0.030745 0.065640 0.027036 0.499162 0.316109
268800 0.031401 0.017728 0.013795 0.044894 0.028257 0.505177 0.307313
272000 0.029621 0.017056 0.011947 0.042173 0.027805 0.505197 0.306661
275200 0.036142 0.023368 0.016464 0.047985 0.019640 0.487404 0.308995
278400 0.036603 0.023949 0.019052 0.050923 0.024553 0.489152 0.310702
281600 0.030965 0.020544 0.015879 0.047899 0.025176 0.493070 0.309258
284800 0.028695 0.016287 0.010519 0.040371 0.023515 0.506566 0.305441
288000 0.032362 0.019144 0.014562 0.045079 0.021721 0.504386 0.308831
291200 0.027366 0.016422 0.011671 0.041578 0.019565 0.501531 0.306604
294400 0.028016 0.019001 0.015546 0.047349 0.023564 0.498052 0.308993
297600 0.050108 0.028777 0.022543 0.052525 0.022409 0.518325 0.311714
300800 0.027850 0.016204 0.011546 0.042008 0.018113 0.503657 0.306247
304000 0.024685 0.015270 0.011256 0.042382 0.022772 0.500280 0.305733
307200 0.038389 0.021903 0.014097 0.043017 0.021521 0.512922 0.307763
310400 0.025197 0.017238 0.012406 0.042760 0.023639 0.497210 0.306984
313600 0.041747 0.023537 0.020063 0.052178 0.019442 0.511576 0.310567
316800 0.034685 0.022048 0.019516 0.050823 0.023699 0.500850 0.311899
320000 0.029161 0.016755 0.011288 0.040844 0.023016 0.504652 0.306462
323200 0.023666 0.014904 0.009926 0.039936 0.020462 0.500356 0.305346
326400 0.028606 0.016161 0.011301 0.041538 0.024597 0.505176 0.305803
329600 0.032031 0.020859 0.010641 0.038985 0.024724 0.487372 0.305469
332800 0.033453 0.019573 0.016381 0.048084 0.021013 0.504462 0.309294
336000 0.031813 0.019774 0.017201 0.049446 0.024050 0.501437 0.309894
339200 0.022473 0.015997 0.009655 0.038289 0.022994 0.495296 0.304941
342400 0.030669 0.020440 0.014953 0.046349 0.024386 0.491566 0.308241
345600 0.026069 0.014914 0.010516 0.041253 0.019602 0.503640 0.305064
348800 0.028160 0.016156 0.011131 0.040896 0.021612 0.504114 0.306029
352000 0.030933 0.020756 0.016241 0.048127 0.020973 0.493243 0.309454
355200 0.031903 0.020929 0.015107 0.046798 0.029019 0.490804 0.308505
358400 0.030019 0.020144 0.016836 0.048608 0.022313 0.498779 0.310121
361600 0.028888 0.017823 0.013996 0.045712 0.019617 0.501936 0.308059
364800 0.030159 0.019477 0.016358 0.048422 0.022767 0.500170 0.309620
368000 0.028620 0.017967 0.014253 0.045862 0.018758 0.500736 0.308207
371200 0.028952 0.018005 0.014517 0.046481 0.020989 0.501284 0.308266
374400 0.031491 0.019957 0.017206 0.049416 0.022101 0.500857 0.310064
377600 0.032248 0.020308 0.017636 0.049753 0.023003 0.500905 0.310362
380800 0.030992 0.018967 0.015682 0.047487 0.026802 0.501856 0.309084
384000 0.033433 0.020175 0.017237 0.049100 0.024474 0.502812 0.310089
387200 0.032542 0.019890 0.017122 0.049269 0.028073 0.501977 0.309922
390400 0.029632 0.017776 0.014092 0.045750 0.023371 0.502610 0.307925
393600 0.031118 0.018644 0.015463 0.047527 0.025469 0.502814 0.308713
396800 0.031817 0.018308 0.014806 0.046619 0.029500 0.504729 0.308045
400000 0.028846 0.016936 0.012723 0.043830 0.027347 0.503494 0.306990
